value,datetime
300,2023/12/18 22:12
150,2023/12/18 22:30
500,2023/12/18 22:37
1000,2023/12/18 23:14
150,2023/12/18 23:15
100,2023/12/18 23:48
200,2023/12/19 00:15
150,2023/12/19 01:13
100,2023/12/19 07:38
100,2023/12/19 08:07
200,2023/12/19 08:11
300,2023/12/19 08:17
300,2023/12/19 08:24
180,2023/12/19 08:28
100,2023/12/19 08:40
300,2023/12/19 08:55
500,2023/12/19 09:07
150,2023/12/19 09:07
1000,2023/12/19 09:15
400,2023/12/19 09:17
50,2023/12/19 09:22
100,2023/12/19 09:23
100,2023/12/19 09:24
100,2023/12/19 09:45
1000,2023/12/19 09:46
100,2023/12/19 09:51
50,2023/12/19 09:57
300,2023/12/19 10:09
200,2023/12/19 10:13
300,2023/12/19 10:14
300,2023/12/19 10:50
300,2023/12/19 11:02
300,2023/12/19 11:05
500,2023/12/19 11:06
300,2023/12/19 11:18
300,2023/12/19 11:20
100,2023/12/19 11:27
150,2023/12/19 11:34
300,2023/12/19 11:40
100,2023/12/19 11:46
100,2023/12/19 11:59
300,2023/12/19 12:02
200,2023/12/19 12:03
400,2023/12/19 12:12
300,2023/12/19 12:19
100,2023/12/19 12:22
100,2023/12/19 13:22
50,2023/12/19 13:39
300,2023/12/19 14:12
100,2023/12/19 15:54
200,2023/12/19 16:13
300,2023/12/19 17:10
300,2023/12/19 17:13
100,2023/12/19 17:43
50,2023/12/19 17:43
150,2023/12/19 18:09
200,2023/12/19 18:18
100,2023/12/19 19:13
70,2023/12/19 20:40
100,2023/12/19 21:02
150,2023/12/19 23:22
